Server clock before sync: 59
Synchronizing server_clock...
[1/51] [2/51] [3/51] [4/51] [5/51] [6/51] [7/51] [8/51] [9/51] [10/51] 
[11/51] [12/51] [13/51] [14/51] [15/51] [16/51] [17/51] [18/51] [19/51] [20/51] 
[21/51] [22/51] [23/51] [24/51] [25/51] [26/51] [27/51] [28/51] [29/51] [30/51] 
[31/51] [32/51] [33/51] [34/51] [35/51] [36/51] [37/51] [38/51] [39/51] [40/51] 
[41/51] [42/51] [43/51] [44/51] [45/51] [46/51] [47/51] [48/51] [49/51] [50/51] 
Best Server Sync RTT: 18974, Worst Server Sync RTT: 61582
Average RTT: 21442.040000
Est Server Time: 21893408, Computed Server Time offset: 20820364
Server clock after sync: 21893411

====== SIMULATION METADATA     =====
Server IP: 128.83.139.94, Port: 8080
Server Drift: 20 PPM, Client VHC Drift: -20 PPM
Relative Drift Weight: -16
Local Server Time Error: 9487
Rapport Period: 30000000
Amortization Period: 5000000
Simulation runtime: 1800 seconds
====== SIMULATION OUTPUT START =====
Current Real Time,Local Server Time,Hardware Clock Time,Software Clock Time,Error,Remote Est Time,
8037181054,21896465,1076061,1076062,-20820403,,
8037200235,21915647,1095242,1095243,-20820404,21915660,
8037231056,21946469,1126061,1254406,-20692063,,
8037281058,21996471,1176062,1512615,-20483856,,
8037331059,22046472,1226061,1770814,-20275658,,
8037381060,22096472,1276059,2029008,-20067464,,
8037431061,22146473,1326059,2287212,-19859261,,
8037481064,22196477,1376060,2545417,-19651060,,
8037531066,22246480,1426062,2803631,-19442849,,
8037581067,22296481,1476060,3061830,-19234651,,
8037631069,22346483,1526060,3320034,-19026449,,
8037681071,22396485,1576060,3578239,-18818246,,
8037731074,22446488,1626061,3836443,-18610045,,
8037781076,22496490,1676062,4094657,-18401833,,
8037831077,22546491,1726061,4352851,-18193640,,
8037881078,22596493,1776060,4611050,-17985443,,
8037931081,22646496,1826062,4869265,-17777231,,
8037981083,22696498,1876061,5127464,-17569034,,
8038031084,22746499,1926061,5385668,-17360831,,
8038081085,22796501,1976060,5643872,-17152629,,
8038131087,22846502,2026060,5902077,-16944425,,
8038181090,22896505,2076061,6160286,-16736219,,
8038231091,22946507,2126060,6418480,-16528027,,
8038281093,22996509,2176061,6676694,-16319815,,
8038331094,23046510,2226060,6934888,-16111622,,
8038381096,23096512,2276060,7193092,-15903420,,
8038431097,23146514,2326059,7451297,-15695217,,
8038481100,23196517,2376060,7709506,-15487011,,
8038531102,23246520,2426061,7967715,-15278805,,
8038581105,23296522,2476062,8225925,-15070597,,
8038631107,23346525,2526062,8484124,-14862401,,
8038681109,23396527,2576062,8742333,-14654194,,
8038731111,23446530,2626062,9000537,-14445993,,
8038781113,23496531,2676063,9258742,-14237789,,
8038831115,23546534,2726063,9516951,-14029583,,
8038881116,23596535,2776063,9775150,-13821385,,
8038931118,23646537,2826063,10033354,-13613183,,
8038981120,23696540,2876062,10291553,-13404987,,
8039031122,23746542,2926063,10549768,-13196774,,
8039081124,23796544,2976064,10807972,-12988572,,
8039131125,23846545,3026062,11066171,-12780374,,
8039181126,23896546,3076061,11324370,-12572176,,
8039231128,23946549,3126061,11582574,-12363975,,
8039281129,23996550,3176061,11840779,-12155771,,
8039331130,24046551,3226061,12098978,-11947573,,
8039381133,24096553,3276061,12357187,-11739366,,
8039431135,24146556,3326062,12615391,-11531165,,
8039481138,24196559,3376062,12873601,-11322958,,
8039531140,24246562,3426064,13131815,-11114747,,
8039581143,24296565,3476064,13390019,-10906546,,
8039631144,24346566,3526063,13648218,-10698348,,
8039681147,24396568,3576064,13906423,-10490145,,
8039731149,24446571,3626064,14164627,-10281944,,
8039781150,24496573,3676064,14422836,-10073737,,
8039831151,24546573,3726063,14681035,-9865538,,
8039881152,24596575,3776062,14939229,-9657346,,
8039931153,24646576,3826061,15197433,-9449143,,
8039981156,24696579,3876062,15455643,-9240936,,
8040031157,24746580,3926062,15713847,-9032733,,
8040081158,24796582,3976062,15972051,-8824531,,
8040131160,24846584,4026062,16230250,-8616334,,
8040181162,24896586,4076062,16488454,-8408132,,
8040231163,24946588,4126061,16746653,-8199935,,
8040281164,24996588,4176060,17004852,-7991736,,
8040331165,25046590,4226059,17263057,-7783533,,
8040381167,25096592,4276060,17521261,-7575331,,
8040431169,25146593,4326058,17779460,-7367133,,
8040481171,25196596,4376059,18037669,-7158927,,
8040531172,25246597,4426059,18295874,-6950723,,
8040581173,25296598,4476058,18554073,-6742525,,
8040631176,25346602,4526059,18812282,-6534320,,
8040681179,25396604,4576060,19070486,-6326118,,
