Server clock before sync: 47
Synchronizing server_clock...
[1/51] [2/51] [3/51] [4/51] [5/51] [6/51] [7/51] [8/51] [9/51] [10/51] 
[11/51] [12/51] [13/51] [14/51] [15/51] [16/51] [17/51] [18/51] [19/51] [20/51] 
[21/51] [22/51] [23/51] [24/51] [25/51] [26/51] [27/51] [28/51] [29/51] [30/51] 
[31/51] [32/51] [33/51] [34/51] [35/51] [36/51] [37/51] [38/51] [39/51] [40/51] 
[41/51] [42/51] [43/51] [44/51] [45/51] [46/51] [47/51] [48/51] [49/51] [50/51] 
Best Server Sync RTT: 19222, Worst Server Sync RTT: 26600
Average RTT: 21114.500000
Est Server Time: 4577591, Computed Server Time offset: 3519997
Server clock after sync: 4577599

====== SIMULATION METADATA     =====
Server IP: 128.83.139.94, Port: 8080
Server Drift: 20 PPM, Client VHC Drift: -20 PPM
Relative Drift Weight: -16
Local Server Time Error: 9611
Rapport Period: 10000000
Amortization Period: 10000000
Simulation runtime: 1800 seconds
====== SIMULATION OUTPUT START =====
Current Real Time,Local Server Time,Hardware Clock Time,Software Clock Time,Error,Remote Est Time,
16716034987,4577780,1057744,1057747,-3520033,,
16716054532,4597322,1077285,1077285,-3520037,4597411,
16716084988,4627779,1107739,1118459,-3509320,,
16716134989,4677781,1157738,1186058,-3491723,,
16716184990,4727782,1207738,1253659,-3474123,,
16716234991,4777782,1257737,1321258,-3456524,,
16716284992,4827783,1307736,1388857,-3438926,,
16716334994,4877785,1357736,1456458,-3421327,,
16716384995,4927787,1407735,1524057,-3403730,,
16716434997,4977789,1457735,1591659,-3386130,,
16716484998,5027791,1507735,1659260,-3368531,,
16716535000,5077792,1557734,1726858,-3350934,,
16716585001,5127793,1607734,1794459,-3333334,,
16716635003,5177796,1657733,1862059,-3315737,,
16716685004,5227797,1707734,1929660,-3298137,,
16716735005,5277799,1757733,1997259,-3280540,,
16716785007,5327800,1807733,2064860,-3262940,,
16716835008,5377802,1857732,2132459,-3245343,,
16716885009,5427803,1907731,2200058,-3227745,,
16716935010,5477804,1957730,2267659,-3210145,,
16716985011,5527805,2007730,2335258,-3192547,,
16717035012,5577807,2057729,2402859,-3174948,,
16717085013,5627808,2107728,2470457,-3157351,,
16717135015,5677810,2157728,2538058,-3139752,,
16717185017,5727812,2207728,2605660,-3122152,,
