Server clock before sync: 50
Synchronizing server_clock...
[1/51] [2/51] [3/51] [4/51] [5/51] [6/51] [7/51] [8/51] [9/51] [10/51] 
[11/51] [12/51] [13/51] [14/51] [15/51] [16/51] [17/51] [18/51] [19/51] [20/51] 
[21/51] [22/51] [23/51] [24/51] [25/51] [26/51] [27/51] [28/51] [29/51] [30/51] 
[31/51] [32/51] [33/51] [34/51] [35/51] [36/51] [37/51] [38/51] [39/51] [40/51] 
[41/51] [42/51] [43/51] [44/51] [45/51] [46/51] [47/51] [48/51] [49/51] [50/51] 
Best Server Sync RTT: 18830, Worst Server Sync RTT: 54391
Average RTT: 21024.400000
Est Server Time: 32207574, Computed Server Time offset: 31155756
Server clock after sync: 32207576

====== SIMULATION METADATA     =====
Server IP: 128.83.139.94, Port: 8080
Server Drift: 20 PPM, Client VHC Drift: -20 PPM
Relative Drift Weight: -16
Local Server Time Error: 9415
Rapport Period: 60000000
Amortization Period: 2000000
Simulation runtime: 1800 seconds
====== SIMULATION OUTPUT START =====
Current Real Time,Local Server Time,Hardware Clock Time,Software Clock Time,Error,Remote Est Time,
2340475278,32210482,1054686,1054686,-31155796,,
2340494045,32229249,1073452,1073453,-31155796,32229287,
2340525279,32260483,1104685,1591276,-30669207,,
2340575281,32310486,1154685,2420189,-29890297,,
2340625282,32360487,1204685,3249068,-29111419,,
2340675285,32410490,1254685,4077981,-28332509,,
2340725287,32460491,1304685,4906877,-27553614,,
2340775289,32510494,1354686,5735773,-26774721,,
2340825290,32560496,1404685,6564652,-25995844,,
2340875292,32610498,1454686,7393565,-25216933,,
2340925295,32660500,1504686,8222477,-24438023,,
2340975297,32710502,1554686,9051357,-23659145,,
2341025298,32760503,1604685,9880253,-22880250,,
2341075299,32810506,1654684,10709132,-22101374,,
2341125303,32860510,1704687,11538078,-21322432,,
2341175305,32910511,1754687,12366974,-20543537,,
2341225306,32960513,1804687,13195869,-19764644,,
2341275307,33010513,1854685,14024716,-18985797,,
2341325309,33060517,1904685,14853628,-18206889,,
2341375311,33110519,1954687,15682541,-17427978,,
2341425313,33160521,2004687,16511437,-16649084,,
2341475315,33210523,2054686,17340333,-15870190,,
2341525317,33260525,2104686,18169229,-15091296,,
